y,x01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50
1,0.284574939,-0.25410582,0.267076385,0.464467595,0.437938654,0.292694259,0.083148384,-0.467073953,0.30740625,0.335011529,0.274974153,-0.258451911,0.26877484,0.451886593,0.417358039,0.276559883,0.083124738,-0.46512855,0.311528106,0.338954058,-0.341040767,0.480372278,0.384661734,-0.2702985,0.449168842,-0.130958339,0.491017571,-0.284190329,-0.03237609,-0.48211852,0.296744204,-0.269413439,0.263031259,0.463505271,0.44421053,0.282415734,0.078119211,-0.455625431,0.331041198,0.339713022,0.42316957,-0.416132277,-0.144448617,-0.284750058,0.226928162,-0.187499655,0.190937891,-0.112408152,0.475172229,-0.199971258
1,-0.491767916,0.165034075,-0.342819569,0.380354125,0.344702326,-0.203986862,0.432081086,-0.017828193,0.21928878,0.478611906,-0.497218397,0.16472197,-0.349316634,0.394956538,0.340946232,-0.188640165,0.438250354,-0.01593089,0.205896493,0.492653892,0.245978992,0.080358746,-0.065019081,-0.134405442,0.401692069,0.17799465,0.162763791,-0.317762627,0.110786544,-0.432254748,-0.482254965,0.159950692,-0.338352555,0.382283994,0.345295642,-0.206793345,0.427133752,-0.009191861,0.225079461,0.471583973,-0.062748778,0.15005064,0.012700103,0.308208149,-0.255190915,0.303140789,-0.247815436,0.410044756,0.206575094,0.066810793
0,-0.399036189,-0.469465345,0.201059175,-0.177998809,-0.44979053,-0.213685305,-0.340946357,-0.15595402,-0.036118208,-0.10229254,-0.396576476,-0.449258935,0.188184486,-0.182782547,-0.446648825,-0.233589369,-0.335183268,-0.164543613,-0.028453591,-0.119344424,-0.254089669,0.392375284,0.12706804,-0.294648487,0.455289322,0.362549775,0.294990649,-0.491535196,0.203916451,-0.218984635,-0.394623333,-0.482376286,0.202060105,-0.19147483,-0.457919499,-0.207856819,-0.340016334,-0.15874444,-0.022038803,-0.111887126,0.021568909,0.184918855,0.026639049,-0.066407419,-0.164662372,-0.414174897,0.200103391,0.013267942,0.327537014,-0.237868631
0,0.090813864,-0.464512608,0.062562328,-0.17640691,-0.363484309,-0.404100256,0.163299702,0.148687522,-0.338675667,0.471810659,0.087444763,-0.451984599,0.067755811,-0.177359511,-0.370054793,-0.408807993,0.175083233,0.151698052,-0.339720827,0.482460424,-0.323363959,-0.02011957,-0.488374714,0.06701932,-0.041600109,-0.381478305,0.298911458,0.413685771,0.193487724,0.078330176,0.099078,-0.466000721,0.077937259,-0.193582925,-0.381255083,-0.399609922,0.165685034,0.156495653,-0.326043301,0.477659885,-0.334682014,0.441102972,-0.28409082,-0.261469949,0.002140834,-0.075669588,0.191986977,0.200147158,0.127719169,0.193486108
0,-0.354764899,-0.267100642,-0.37158425,0.041155071,0.095105689,0.039354755,0.361228522,0.402935874,-0.352955025,-0.031126023,-0.351467388,-0.285725193,-0.378833726,0.043548675,0.090824295,0.022179347,0.359342834,0.422080345,-0.347605894,-0.029011702,-0.251800166,0.367573539,0.00832481,-0.301255969,-0.381474233,-0.05778604,-0.293575486,0.404372898,-0.190844474,0.36939859,-0.367943413,-0.286209622,-0.3821457,0.034802211,0.112580751,0.055584606,0.370792177,0.392379677,-0.335382795,-0.03954456,-0.082822049,0.325142377,-0.041810592,0.386030571,0.145476034,0.116685968,0.064413025,0.429814116,-0.200543043,-0.155872467
0,0.024317767,0.113742816,-0.220047952,-0.495452355,-0.341818612,-0.373266201,-0.325502918,-0.057196117,-0.361433669,-0.065684908,0.029593977,0.127171449,-0.232097658,-0.475498937,-0.332386559,-0.386173118,-0.321911191,-0.053806413,-0.375694761,-0.057677667,-0.400329298,0.37509701,-0.443204293,-0.105388229,0.147465011,0.184746673,-0.18322167,0.036521316,0.213710978,0.111326451,0.029273768,0.09572422,-0.23335259,-0.499912249,-0.342968232,-0.363544929,-0.310714677,-0.052301296,-0.349682082,-0.063274337,0.096705007,0.347079454,0.234109072,-0.32626712,-0.13022861,-0.414683721,-0.323937392,-0.230240861,0.399250136,0.189139089
1,0.335517443,-0.376796708,0.025109541,-0.104637065,0.44877432,0.36510969,-0.239767528,-0.225750956,0.143385741,0.419359012,0.331225319,-0.372790296,0.035485784,-0.107095648,0.457825096,0.371111966,-0.233033367,-0.2234324,0.152680044,0.415728552,-0.299711666,-0.275019217,0.445343112,-0.297004153,0.210793401,0.429941509,-0.407096712,-0.246831883,-0.210059275,-0.071330416,0.339209468,-0.379271842,0.021916359,-0.102260036,0.468623023,0.368307118,-0.232310479,-0.231867104,0.154774008,0.424446251,-0.41090655,-0.374720107,-0.38792699,-0.188960333,0.05279653,-0.133743361,-0.043523024,-0.428356776,-0.357479903,0.294792021
0,-0.01531583,0.06513875,-0.19632567,-0.091290688,-0.025749858,-0.021836,0.030535808,-0.210504021,0.168268612,-0.342467188,-0.003532902,0.053168299,-0.174283761,-0.081636735,-0.034818428,-0.016284142,0.035612453,-0.213555502,0.167490767,-0.336363082,0.219654714,0.467671333,-0.081267017,-0.325686901,-0.46968387,0.192256287,-0.058281488,0.176140604,-0.329987776,-0.26125698,-0.000957031,0.058268904,-0.199537285,-0.103106611,-0.013979746,-0.024972897,0.007230664,-0.19839128,0.160050184,-0.359722656,0.367753269,0.16466522,-0.021910406,0.155379482,0.337304814,0.451183448,0.068268653,0.28768723,-0.176152898,0.10055053
0,-0.109511182,-0.492865107,-0.299011794,0.283899022,-0.006827417,0.213147755,-0.162167591,0.201064524,0.162182917,-0.114128828,-0.143081885,-0.485332643,-0.295511157,0.29909415,0.007789213,0.228401197,-0.153067475,0.217517591,0.176960989,-0.110034629,0.381026414,-0.179245478,-0.371827994,0.395341055,0.001551692,0.49184447,0.236848193,0.07699379,-0.374935645,0.060179045,-0.084489924,-0.493445561,-0.307369582,0.28538817,0.003296307,0.216809527,-0.176775807,0.202789053,0.172233474,-0.10586533,0.45469657,-0.340175205,0.489036585,0.006952248,0.084115483,0.15692078,0.449517732,0.024947946,0.33515626,0.214152633
0,-0.257329766,0.160217753,0.360177013,-0.278092126,-0.094892655,-0.265851662,-0.163059799,0.431154601,-0.179094253,0.173893385,-0.244662899,0.156901606,0.365175672,-0.278844733,-0.098737354,-0.268403416,-0.16598598,0.436622425,-0.181508817,0.169041344,-0.173394273,-0.466985144,0.305471881,-0.046432564,-0.42060336,-0.494262411,-0.062270607,-0.123418893,0.180523331,0.273488207,-0.267086026,0.148435445,0.352732681,-0.287427286,-0.092396757,-0.266259548,-0.156020733,0.429832039,-0.184047565,0.168560629,-0.246575659,0.449775303,0.291951477,0.012715058,-0.368913739,-0.435854177,0.471615847,0.001768009,-0.256558872,0.474797841
